RANK,OCCUPATION,NUMBER OF LCA,AVERAGE SALARY
1,"Software Developers, Applications","167,750","$123,517"
2,Software Developers,"35,493","$138,840"
3,Computer Systems Analysts,"34,221","$108,897"
4,"Software Developers, Systems Software","33,865","$141,912"
5,Computer Systems Engineers/Architects,"22,564","$113,632"
6,Information Technology Project Managers,"15,988","$130,153"
7,Computer and Information Systems Managers,"15,485","$189,885"
8,Business Intelligence Analysts,"13,771","$116,117"
9,Software Quality Assurance Engineers and Testers,"12,517","$103,575"
10,Operations Research Analysts,"11,629","$125,430"
11,Mechanical Engineers,"10,999","$103,456"
12,"Electronics Engineers, Except Computer","9,340","$146,032"
13,Computer Programmers,"9,310","$96,883"
14,Statisticians,"9,152","$131,613"
15,"Computer Occupations, All Other","8,423","$95,849"
16,Database Administrators,"8,165","$104,096"
17,Electrical Engineers,"7,807","$116,383"
18,Financial Analysts,"7,758","$136,242"
19,Accountants and Auditors,"7,755","$97,550"
20,Management Analysts,"7,246","$129,310"
21,Industrial Engineers,"5,806","$108,348"
22,Computer and Information Research Scientists,"5,260","$154,273"
23,"Medical Scientists, Except Epidemiologists","5,113","$83,392"
24,Information Security Analysts,"4,980","$134,074"
25,Market Research Analysts and Marketing Specialists,"4,890","$96,538"
26,Network and Computer Systems Administrators,"4,701","$100,963"
27,Civil Engineers,"4,617","$88,352"
28,"Physicians and Surgeons, All Other","3,994","$233,995"
29,Biochemists and Biophysicists,"3,548","$79,383"
30,Database Architects,"3,034","$126,573"
31,Financial Quantitative Analysts,"2,890","$133,869"
32,Software Quality Assurance Analysts and Testers,"2,853","$112,998"
33,Marketing Managers,"2,776","$172,277"
34,Sales Engineers,"2,641","$144,110"
35,Computer Network Architects,"2,429","$129,294"
36,Medical and Clinical Laboratory Technologists,"2,350","$62,259"
37,Data Warehousing Specialists,"2,337","$118,145"
38,Architectural and Engineering Managers,"2,272","$176,286"
39,Chemists,"2,268","$89,478"
40,Graphic Designers,"2,140","$113,610"
41,Lawyers,"2,121","$212,604"
42,"Health Specialties Teachers, Postsecondary","2,119","$168,103"
43,Validation Engineers,"2,024","$100,996"
44,Molecular and Cellular Biologists,"1,914","$79,865"
45,Materials Engineers,"1,844","$115,918"
46,Financial Managers,"1,757","$203,099"
47,Physical Therapists,"1,720","$83,883"
48,"Elementary School Teachers, Except Special Education","1,697","$56,709"
49,"Architects, Except Landscape and Naval","1,670","$75,372"
50,Bioinformatics Scientists,"1,668","$98,713"
51,General and Operations Managers,"1,667","$146,093"
52,"Secondary School Teachers, Except Special and Career/Technical Education","1,543","$56,886"
53,Web Developers,"1,504","$89,004"
54,Accountants,"1,493","$82,667"
55,Computer Hardware Engineers,"1,478","$155,913"
56,Logisticians,"1,414","$96,959"
57,"Biological Scientists, All Other","1,410","$75,617"
58,"Business Teachers, Postsecondary","1,404","$139,123"
59,Risk Management Specialists,"1,313","$117,185"
60,Data Scientists,"1,294","$147,769"
61,Hospitalists,"1,270","$263,701"
62,"Engineering Teachers, Postsecondary","1,243","$94,643"
63,Chemical Engineers,"1,232","$110,163"
64,Construction Managers,"1,196","$113,707"
65,Economists,"1,163","$133,173"
65,Biomedical Engineers,"1,163","$100,975"
67,"Computer Science Teachers, Postsecondary","1,139","$100,570"
68,Manufacturing Engineers,"1,138","$100,473"
69,Physicists,"1,107","$96,366"
70,Commercial and Industrial Designers,"1,098","$104,781"
71,Human Resources Specialists,"1,067","$86,706"
72,Financial and Investment Analysts,"1,062","$153,536"
73,"Dentists, General","1,005","$162,903"
74,Biostatisticians,970,"$113,669"
75,"Internists, General",915,"$249,090"
76,Regulatory Affairs Specialists,912,"$95,054"
77,Biological Technicians,846,"$58,918"
78,"Mathematical Science Teachers, Postsecondary",830,"$83,528"
79,Sales Managers,786,"$162,301"
80,Rehabilitation Counselors,748,"$34,622"
81,Materials Scientists,731,"$87,550"
82,Public Relations Specialists,704,"$76,897"
83,Clinical Data Managers,699,"$110,503"
84,Supply Chain Managers,689,"$138,726"
85,Cost Estimators,684,"$93,596"
86,Chief Executives,653,"$277,994"
87,Automotive Engineers,633,"$113,104"
88,Medical and Health Services Managers,603,"$127,169"
89,"Middle School Teachers, Except Special and Career/Technical Education",600,"$58,008"
90,Industrial Production Managers,585,"$140,961"
91,Actuaries,582,"$127,931"
92,"Foreign Language and Literature Teachers, Postsecondary",577,"$68,671"
93,Natural Sciences Managers,575,"$149,355"
